timeline,game_id,team,inning,score
0,1,0,1,0
0,1,1,1,0
0,1,0,2,1
0,1,1,2,0
0,1,0,3,0
0,1,1,3,0
0,1,0,4,0
0,1,1,4,0
0,1,0,5,1
0,1,1,5,0
0,1,0,6,0
0,1,1,6,1
0,1,0,7,0
0,1,1,7,2
0,1,0,8,0
0,1,1,8,0
0,1,0,9,0
0,1,1,9,0
1,1,0,1,1
1,1,1,1,0
1,1,0,2,0
1,1,1,2,0
1,1,0,3,0
1,1,1,3,0
1,1,0,4,0
1,1,1,4,0
1,1,0,5,0
1,1,1,5,0
1,1,0,6,0
1,1,1,6,0
1,1,0,7,0
1,1,1,7,0
1,1,0,8,0
1,1,1,8,0
1,1,0,9,0
1,1,1,9,0
2,1,0,1,0
2,1,1,1,0
2,1,0,2,0
2,1,1,2,1
2,1,0,3,2
2,1,1,3,1
2,1,0,4,0
2,1,1,4,0
2,1,0,5,0
2,1,1,5,0
2,1,0,6,0
2,1,1,6,0
2,1,0,7,1
2,1,1,7,0
2,1,0,8,0
2,1,1,8,0
2,1,0,9,0
2,1,1,9,0
3,1,0,1,0
3,1,1,1,0
3,1,0,2,0
3,1,1,2,0
3,1,0,3,1
3,1,1,3,0
3,1,0,4,0
3,1,1,4,0
3,1,0,5,0
3,1,1,5,0
3,1,0,6,0
3,1,1,6,1
3,1,0,7,0
3,1,1,7,0
3,1,0,8,0
3,1,1,8,0
3,1,0,9,0
3,1,1,9,0
3,1,0,10,0
3,1,1,10,0
3,1,0,11,0
3,1,1,11,0
3,1,0,12,0
3,1,1,12,0
3,1,0,13,0
3,1,1,13,0
3,1,0,14,0
3,1,1,14,0
3,1,0,15,1
3,1,1,15,0
4,1,0,1,0
4,1,1,1,0
4,1,0,2,0
4,1,1,2,0
4,1,0,3,0
4,1,1,3,1
4,1,0,4,0
4,1,1,4,0
4,1,0,5,0
4,1,1,5,0
4,1,0,6,0
4,1,1,6,0
4,1,0,7,0
4,1,1,7,1
4,1,0,8,1
4,1,1,8,0
4,1,0,9,0
4,1,1,9,0
5,1,0,1,0
5,1,1,1,0
5,1,0,2,0
5,1,1,2,1
5,1,0,3,0
5,1,1,3,0
5,1,0,4,0
5,1,1,4,0
5,1,0,5,0
5,1,1,5,0
5,1,0,6,0
5,1,1,6,0
5,1,0,7,0
5,1,1,7,0
5,1,0,8,2
5,1,1,8,1
5,1,0,9,0
5,1,1,9,1
6,1,0,1,0
6,1,1,1,0
6,1,0,2,0
6,1,1,2,0
